Loan_ID,Customer_ID,Age,Gender,Employment_Type,Employment_Years,Annual_Income,Credit_Score,Existing_Loans,Previous_Defaults,DTI_Ratio,Loan_Amount,Loan_Tenure_Months,Interest_Rate,Loan_Purpose,EMI,Collateral_Value,Application_Date,Loan_Status,Default_Flag
L100022,C100022,39,Male,Business,9.2,932830.0,775,3,0,0.359,353936,48,8.57,Business,8735.62,504380.0,2023-04-18,Approved,0
L100023,C100023,24,Female,Salaried,4.1,453103.0,649,3,0,0.287,211558,48,8.77,Home Improvement,5241.56,256686.0,2023-08-23,Rejected,0
L100024,C100024,33,Female,Business,3.2,1161152.0,809,2,0,0.245,1034664,24,7.86,Business,46729.01,1525989.0,2023-06-03,Approved,0
L100025,C100025,39,Female,Salaried,2.4,549293.0,729,1,0,0.431,206702,24,10.25,Personal,9562.12,32450.0,2023-04-05,Rejected,0
L100026,C100026,26,Male,Business,14.9,1129917.0,769,2,0,0.166,1518019,24,8.19,Education,68787.51,361441.0,2025-06-10,Approved,0
L100027,C100027,42,Male,Salaried,11.5,313222.0,655,0,1,0.245,444092,48,11.75,Home Improvement,11640.21,447866.0,2024-06-09,Rejected,0
L100028,C100028,32,Male,Self-employed,7.1,1019723.0,732,0,0,0.221,970819,24,8.62,Personal,44182.54,285269.0,2023-12-01,Rejected,0
L100029,C100029,35,Male,Business,16.9,1746129.0,784,3,0,0.479,1767132,18,9.45,Business,105681.82,2485011.0,2023-02-25,Approved,1
L100030,C100030,32,Male,Self-employed,17.1,1311729.0,662,0,0,0.254,1463236,48,9.48,Education,36747.1,217292.0,2025-06-11,Rejected,0
L100031,C100031,57,Female,Self-employed,4.3,487145.0,712,1,1,0.304,302655,36,12.19,Medical,10079.96,54512.0,2024-10-22,Approved,0
L100032,C100032,38,Male,Self-employed,6.6,523026.0,609,2,0,0.424,940149,36,10.2,Vehicle,30424.32,838091.0,2023-06-19,Approved,0
L100033,C100033,27,Male,Business,13.0,1380328.0,745,4,0,0.45,722767,48,9.56,Personal,18178.89,139528.0,2024-05-01,Approved,0
L100034,C100034,46,Male,Self-employed,6.7,331343.0,641,6,1,0.498,411617,24,8.05,Home Improvement,18625.71,559756.0,2024-12-01,Approved,0
L100035,C100035,26,Male,Salaried,16.8,224361.0,698,3,0,0.355,311307,60,9.68,Vehicle,6565.44,267352.0,2025-09-26,Approved,0
L100036,C100036,40,Male,Salaried,3.5,1168678.0,752,1,0,0.336,548511,18,7.87,Vehicle,32406.57,704133.0,2024-04-11,Approved,1
L100037,C100037,21,Male,Self-employed,3.8,347672.0,619,1,0,0.253,400225,36,9.88,Education,12891.6,186298.0,2025-08-28,Approved,0
L100038,C100038,25,Male,Salaried,6.6,403042.0,656,1,0,0.341,530071,60,8.82,Vehicle,10957.15,891723.0,2023-03-13,Rejected,0
L100039,C100039,40,Male,Salaried,1.5,508362.0,765,2,0,0.197,189901,36,9.4,Personal,6074.22,35967.0,2023-08-05,Rejected,0
L100040,C100040,45,Male,Self-employed,7.2,496140.0,659,2,0,0.29,551335,24,13.43,Home Improvement,26322.96,932183.0,2025-05-27,Approved,0
L100041,C100041,40,Male,Salaried,10.7,847723.0,622,1,0,0.094,916252,72,12.69,Business,18243.37,1250063.0,2025-11-17,Approved,0
L100042,C100042,37,Male,Salaried,6.3,709051.0,683,0,0,0.22,1318273,36,10.49,Home Improvement,42840.88,1698802.0,2023-03-25,Approved,0
L100043,C100043,35,Male,Self-employed,7.7,1523220.0,665,1,0,0.216,572276,48,13.42,Home Improvement,15472.3,819531.0,2023-08-30,Rejected,0
L100044,C100044,23,Male,Business,10.2,409221.0,569,2,0,0.277,682646,72,10.49,Personal,12815.92,324022.0,2025-04-14,Rejected,0
L100045,C100045,31,Female,Salaried,2.3,306945.0,618,3,0,0.486,321765,24,13.43,Home Improvement,15362.36,473356.0,2024-10-07,Rejected,0
L100046,C100046,33,Male,Salaried,17.5,1165480.0,809,1,0,0.095,1242745,60,7.54,Education,24925.69,585319.0,2023-05-26,Rejected,0
L100047,C100047,49,Female,Salaried,15.5,814548.0,746,1,0,0.415,921671,72,10.53,Personal,17322.09,62255.0,2024-07-06,Approved,0
L100048,C100048,41,Male,Self-employed,4.7,677790.0,579,1,0,0.269,790958,48,12.08,Personal,20860.04,95913.0,2025-02-01,Rejected,0
L100049,C100049,21,Male,Salaried,8.0,735609.0,643,1,0,0.173,663793,48,9.42,Vehicle,16651.21,511210.0,2023-06-10,Rejected,0
L100050,C100050,41,Male,Salaried,17.4,414503.0,651,2,0,0.094,432471,72,11.44,Vehicle,8329.48,503867.0,2023-10-30,Rejected,0
L100051,C100051,34,Male,Business,8.3,753191.0,692,2,0,0.278,1337171,36,11.11,Home Improvement,43846.95,1755995.0,2023-11-12,Approved,0
L100052,C100052,31,Male,Self-employed,7.7,689857.0,695,0,0,0.151,956784,84,7.0,Vehicle,14440.43,709798.0,2023-03-24,Approved,0
L100053,C100053,44,Male,Self-employed,14.9,1225884.0,779,3,0,0.484,2500000,12,9.57,Home Improvement,219290.06,3815913.0,2023-06-13,Rejected,0
L100054,C100054,48,Female,Salaried,7.2,312417.0,656,1,0,0.33,453373,48,11.1,Medical,11739.69,64092.0,2023-09-07,Approved,0
L100055,C100055,47,Female,Salaried,5.8,247751.0,620,2,0,0.421,169642,24,13.08,Vehicle,8071.47,197260.0,2024-07-23,Approved,0
L100056,C100056,30,Male,Salaried,5.0,513994.0,701,2,0,0.492,518398,18,11.41,Home Improvement,31471.08,668744.0,2023-07-28,Approved,0
L100057,C100057,35,Male,Self-employed,10.5,344034.0,595,2,1,0.475,247585,36,14.66,Personal,8541.45,55494.0,2023-12-27,Approved,1
L100058,C100058,41,Male,Salaried,3.2,666466.0,589,0,1,0.352,921509,84,11.57,Education,16056.01,205173.0,2024-12-10,Approved,0
L100059,C100059,48,Male,Salaried,2.1,626346.0,678,0,0,0.293,360101,36,9.95,Business,11610.99,452818.0,2024-11-12,Approved,0
L100060,C100060,33,Male,Business,3.7,1147931.0,746,4,0,0.326,1894611,36,7.9,Personal,59282.86,578193.0,2023-06-07,Approved,0
L100061,C100061,36,Male,Salaried,13.8,901348.0,724,3,0,0.219,502452,18,7.24,Vehicle,29541.2,658107.0,2023-01-27,Approved,0
L100062,C100062,27,Male,Self-employed,11.1,688608.0,816,0,0,0.259,791410,60,10.53,Education,17022.25,215205.0,2025-05-03,Approved,0
L100063,C100063,26,Male,Self-employed,10.7,1250492.0,745,2,0,0.4,2385134,72,8.42,Business,42309.96,2788017.0,2023-03-22,Rejected,0
L100064,C100064,46,Male,Salaried,6.6,327191.0,612,2,0,0.314,493040,72,11.06,Vehicle,9399.72,737574.0,2025-08-10,Approved,0
L100065,C100065,52,Male,Salaried,11.0,749444.0,761,0,0,0.26,382311,48,8.54,Business,9430.54,614844.0,2023-07-09,Approved,0
L100066,C100066,37,Male,Salaried,5.8,1574147.0,766,0,0,,1339150,48,10.73,Education,34435.7,432657.0,2023-01-10,Rejected,0
L100067,C100067,48,Male,Salaried,6.5,849165.0,694,2,0,0.288,995851,60,11.55,Home Improvement,21926.37,988177.0,2023-08-10,Rejected,0
L100068,C100068,42,Male,Salaried,5.7,406921.0,764,2,0,0.239,131901,72,8.6,Personal,2351.49,50167.0,2023-08-19,Approved,0
L100069,C100069,32,Male,Self-employed,1.0,378088.0,605,1,0,0.4,318087,24,12.19,Vehicle,15001.7,420744.0,2023-04-07,Approved,0
L100070,C100070,42,Male,Business,16.4,439338.0,678,1,0,0.202,598677,24,11.57,Personal,28061.74,183370.0,2025-05-06,Rejected,0
L100071,C100071,53,Male,Salaried,6.1,523760.0,803,2,0,0.376,312696,84,7.0,Business,4719.42,547060.0,2023-11-19,Approved,0
L100072,C100072,38,Male,Business,4.0,329045.0,620,1,0,0.27,440842,36,12.72,Personal,14794.32,14932.0,2024-08-08,Approved,0
L100073,C100073,54,Male,Business,2.2,792910.0,691,2,0,0.412,485481,60,10.28,Personal,10382.05,221104.0,2025-11-22,Approved,0
L100074,C100074,21,Male,Salaried,17.5,692633.0,806,0,1,0.092,545004,72,7.0,Personal,9291.78,73393.0,2024-04-19,Approved,0
L100075,C100075,46,Male,Salaried,15.1,479932.0,735,1,0,0.195,410019,60,10.27,Home Improvement,8766.26,653451.0,2024-03-05,Approved,0
L100076,C100076,39,Male,Salaried,2.8,1517449.0,762,1,0,0.302,982315,36,9.31,Home Improvement,31379.27,1064892.0,2024-10-18,Rejected,0
L100077,C100077,35,Male,Salaried,5.8,439376.0,645,2,0,0.273,140541,48,11.93,Personal,3696.16,1896.0,2025-03-30,Rejected,0
L100078,C100078,39,Male,Salaried,8.0,861534.0,733,1,0,0.284,538543,36,9.03,Home Improvement,17133.04,511212.0,2024-08-23,Rejected,0
L100079,C100079,21,Female,Self-employed,3.5,1778905.0,683,0,0,0.376,2500000,48,11.37,Vehicle,65063.93,4347659.0,2024-07-18,Rejected,0
L100080,C100080,36,Male,Self-employed,17.9,741685.0,779,4,0,0.277,817869,36,7.2,Home Improvement,25328.28,852061.0,2023-08-01,Approved,0
L100081,C100081,42,Male,Salaried,2.6,1250248.0,676,0,0,0.285,1680021,84,9.28,Personal,27269.33,622235.0,2025-07-26,Approved,0
L100082,C100082,53,Male,Salaried,7.5,265286.0,549,0,1,0.23,478862,36,10.22,Business,15501.04,828038.0,2024-02-20,Approved,0
L100083,C100083,33,Male,Salaried,6.2,816994.0,616,2,0,0.326,1285562,36,10.72,Education,41917.39,430022.0,2023-08-28,Approved,0
L100084,C100084,30,Male,Salaried,10.9,734495.0,676,1,1,0.242,978646,36,11.38,Home Improvement,32216.01,1080660.0,2023-10-20,Rejected,0
L100085,C100085,33,Male,Self-employed,8.3,948828.0,756,3,0,0.27,534775,24,8.16,Education,24225.47,51355.0,2024-10-14,Approved,0
L100086,C100086,47,Male,Salaried,9.3,214286.0,522,3,0,0.361,103899,12,14.99,Vehicle,9377.26,75048.0,2025-12-15,Approved,0
L100087,C100087,41,Male,Salaried,2.1,1163288.0,734,2,0,0.37,1888262,24,8.9,Education,86178.15,858201.0,2023-04-14,Approved,0
L100088,C100088,33,Female,Salaried,6.6,209128.0,625,1,0,0.207,196483,36,9.75,Education,6316.92,58355.0,2024-02-20,Approved,0
L100089,C100089,43,Female,Salaried,12.5,840608.0,696,1,0,0.537,1653672,60,8.74,Personal,34119.22,209304.0,2024-12-23,Approved,0
L100090,C100090,39,Female,Self-employed,3.2,583290.0,674,1,0,0.221,454443,24,12.87,Education,21577.31,97068.0,2024-03-29,Approved,0
L100091,C100091,48,Female,Self-employed,10.9,588204.0,573,2,0,0.361,758626,60,10.62,Medical,16350.97,48237.0,2023-12-26,Approved,0
L100092,C100092,31,Male,Self-employed,7.5,,702,0,0,0.426,799572,48,11.75,Education,20957.79,78946.0,2025-04-01,Approved,0
L100093,C100093,35,Male,Self-employed,13.2,902778.0,707,0,0,0.195,775420,48,9.56,Home Improvement,19503.21,946446.0,2025-03-01,Approved,0
L100094,C100094,34,Male,Salaried,6.1,1135434.0,694,1,0,0.345,519791,36,9.65,Personal,16686.91,165191.0,2025-10-03,Approved,0
L100095,C100095,23,Female,Business,7.5,718694.0,650,1,1,0.389,484615,60,8.3,Home Improvement,9895.97,486497.0,2025-03-21,Rejected,0
L100096,C100096,41,Male,Salaried,5.3,446110.0,694,0,0,0.079,80750,24,9.16,Home Improvement,3694.97,98067.0,2023-10-24,Rejected,0
L100097,C100097,41,Male,Salaried,6.1,568595.0,614,0,0,0.16,680584,36,11.19,Personal,22342.73,87179.0,2023-09-13,Approved,0
L100098,C100098,38,Female,Salaried,4.2,715464.0,692,2,0,0.417,365344,36,9.09,Medical,11633.15,69800.0,2025-12-05,Approved,0
L100099,C100099,36,Male,Self-employed,4.3,563427.0,717,4,0,0.229,775602,84,10.3,Vehicle,12996.46,792550.0,2025-11-24,Rejected,0
L100100,C100100,24,Male,Salaried,10.3,494679.0,700,2,0,0.336,591761,60,11.93,Vehicle,13142.47,958910.0,2025-09-30,Rejected,0
L100101,C100101,34,Female,Self-employed,2.7,818571.0,643,0,0,0.247,1604343,60,11.23,Home Improvement,35066.61,2222348.0,2024-04-28,Rejected,0
L100102,C100102,35,Male,Salaried,7.5,1217334.0,623,1,0,0.254,1356610,36,15.03,Home Improvement,47047.26,906051.0,2025-01-01,Approved,1
L100103,C100103,30,Male,Salaried,8.6,1264316.0,715,0,0,0.189,1102335,12,8.31,Vehicle,96048.46,1967578.0,2025-06-10,Approved,0
L100104,C100104,36,Male,Self-employed,3.6,1830946.0,801,1,0,0.198,2500000,36,7.0,Home Improvement,77192.74,1849950.0,2024-03-07,Approved,0
L100105,C100105,42,Male,Salaried,5.7,580549.0,656,1,0,0.125,944378,72,9.3,Vehicle,17163.87,872122.0,2025-06-07,Approved,0
L100106,C100106,57,Female,Business,4.6,381033.0,660,1,0,0.323,220961,48,11.91,Medical,5808.99,31699.0,2025-09-05,Approved,0
L100107,C100107,40,Female,Salaried,3.1,724138.0,667,3,0,0.38,1483892,60,11.93,Personal,32955.89,661402.0,2025-07-16,Rejected,0
L100108,C100108,41,Male,Salaried,8.8,871253.0,625,1,0,0.294,1328226,48,9.51,Personal,33375.55,411025.0,2024-11-18,Approved,0
L100109,C100109,37,Male,Business,8.4,552492.0,674,1,0,0.106,531507,36,10.69,Personal,17322.93,123710.0,2025-09-18,Rejected,0
L100110,C100110,21,Male,Salaried,3.6,299891.0,596,0,0,0.328,172421,48,11.27,Personal,4478.95,64707.0,2025-09-06,Rejected,0
L100111,C100111,38,Male,Salaried,14.3,309854.0,666,0,0,0.269,367103,24,10.08,Home Improvement,16953.5,584577.0,2025-03-25,Rejected,0
L100112,C100112,39,Male,Business,5.7,674323.0,630,2,0,0.128,585746,60,10.53,Personal,12598.67,227041.0,2023-08-07,Rejected,0
L100113,C100113,63,Female,Salaried,5.6,238929.0,743,2,0,0.372,386289,36,10.32,Education,12522.58,148720.0,2024-11-24,Rejected,0
L100114,C100114,36,Female,Self-employed,7.1,627106.0,729,0,0,0.338,385290,24,11.36,Medical,18022.0,116559.0,2023-08-09,Approved,0
L100115,C100115,41,Male,Business,8.0,332719.0,609,3,0,0.226,247598,24,9.55,Education,11374.03,103895.0,2025-12-19,Approved,1
L100116,C100116,38,Male,Salaried,5.2,1581625.0,673,3,0,0.226,749889,12,9.87,Vehicle,65881.83,728433.0,2025-07-07,Rejected,0
L100117,C100117,26,Male,Salaried,4.4,654069.0,727,0,0,0.165,268110,72,8.33,Personal,4744.16,76929.0,2025-10-14,Approved,0
L100118,C100118,49,Male,Self-employed,12.1,1008737.0,662,2,0,0.207,1318891,48,11.65,Home Improvement,34505.24,1577023.0,2025-06-10,Approved,0
L100119,C100119,46,Female,Salaried,9.0,981934.0,747,1,0,0.284,1303210,36,11.86,Vehicle,43198.13,1553921.0,2025-09-16,Rejected,0
L100120,C100120,46,Male,Self-employed,1.8,1167189.0,739,2,0,0.242,1408789,60,8.54,Vehicle,28930.63,2443482.0,2023-08-02,Approved,0
L100121,C100121,29,Male,Self-employed,8.4,418365.0,701,2,0,0.339,242100,36,9.73,Medical,7781.23,14717.0,2024-12-18,Approved,0
L100122,C100122,52,Female,Salaried,6.8,422212.0,596,1,0,0.213,421682,72,9.98,Personal,7807.76,23797.0,2023-02-28,Rejected,0
L100123,C100123,24,Male,Salaried,6.5,670317.0,618,2,0,0.319,1122137,48,11.2,Home Improvement,29111.33,1818627.0,2024-04-02,Approved,0
L100124,C100124,44,Male,Salaried,6.8,1050773.0,590,0,1,0.2,355525,48,11.18,Personal,9219.84,38425.0,2024-02-02,Rejected,0
L100125,C100125,60,Male,Business,10.5,4147477.0,846,1,0,0.202,1279997,36,7.6,Vehicle,39874.68,1300096.0,2023-04-05,Approved,0
L100126,C100126,28,Female,Salaried,4.7,201130.0,648,1,0,0.186,98452,24,9.15,Business,4504.53,153220.0,2024-06-08,Approved,0
L100127,C100127,32,Female,Salaried,19.1,443525.0,724,1,0,0.239,345204,36,8.15,Vehicle,10841.34,464797.0,2024-09-24,Rejected,0
L100128,C100128,39,Female,Salaried,1.9,368777.0,627,2,0,0.126,197221,18,9.2,Personal,11772.0,61150.0,2024-03-24,Rejected,0
L100129,C100129,33,Male,Salaried,1.8,731671.0,618,3,0,0.399,178381,48,13.6,Home Improvement,4838.81,130296.0,2025-06-14,Approved,0
L100130,C100130,22,Male,Salaried,6.3,443285.0,630,0,1,0.23,241353,60,12.94,Personal,5484.11,34837.0,2025-12-28,Rejected,0
L100131,C100131,39,Male,Salaried,9.6,860075.0,782,1,0,0.28,755323,36,8.43,Vehicle,23819.2,649228.0,2023-02-01,Approved,1
L100132,C100132,27,Male,Self-employed,6.1,559800.0,698,1,0,0.126,193828,84,8.22,Vehicle,3042.33,134490.0,2025-01-14,Approved,0
L100133,C100133,43,Male,Self-employed,9.5,785097.0,721,2,0,0.203,813101,36,8.85,Personal,25799.67,254355.0,2024-09-28,Approved,0
L100134,C100134,29,Male,Salaried,4.1,356800.0,696,1,0,0.342,422211,12,9.59,Vehicle,37038.59,428927.0,2025-11-07,Approved,1
L100135,C100135,53,Male,Salaried,8.6,722004.0,656,1,0,0.304,678177,36,10.24,Business,21959.36,1080531.0,2024-03-23,Rejected,0
L100136,C100136,30,Male,Salaried,14.5,307093.0,562,2,0,0.168,217932,84,11.75,Vehicle,3818.02,301038.0,2025-12-24,Rejected,0
L100137,C100137,35,Female,Salaried,17.4,684209.0,741,1,0,0.425,259975,60,8.85,Education,5377.75,16432.0,2025-02-03,Rejected,0
L100138,C100138,46,Male,Salaried,7.1,487189.0,635,0,0,0.198,587290,72,9.82,Home Improvement,10826.81,821981.0,2024-09-30,Rejected,0
L100139,C100139,26,Female,Salaried,10.2,1503983.0,694,1,0,0.05,523005,60,10.65,Medical,11280.32,123490.0,2024-02-04,Approved,0
L100140,C100140,40,Female,Salaried,6.2,569839.0,673,2,0,0.281,419933,36,10.58,Home Improvement,13664.69,401732.0,2023-12-21,Rejected,0
L100141,C100141,51,Female,Salaried,12.8,936532.0,740,1,0,0.208,887068,48,8.42,Vehicle,21831.23,946454.0,2023-11-26,Approved,0
L100142,C100142,22,Female,Salaried,7.3,465380.0,755,1,0,0.335,243387,36,9.46,Personal,7791.85,109517.0,2024-05-17,Rejected,0
L100143,C100143,40,Male,Salaried,5.4,653521.0,735,2,0,0.194,158238,84,9.92,Home Improvement,2620.4,124401.0,2023-07-26,Rejected,0
L100144,C100144,41,Female,Salaried,8.0,555958.0,666,1,1,0.255,265459,48,11.53,Business,6929.45,350262.0,2025-09-07,Rejected,0
L100145,C100145,46,Male,Salaried,4.5,650913.0,650,1,0,0.383,461304,18,10.26,Personal,27759.83,217868.0,2025-04-11,Rejected,0
L100146,C100146,26,Male,Self-employed,2.7,338847.0,619,1,1,0.313,79280,36,10.76,Vehicle,2586.52,81310.0,2024-11-20,Approved,0
L100147,C100147,25,Male,Salaried,5.8,234680.0,701,1,0,0.174,435201,48,12.23,Vehicle,11509.72,603194.0,2024-01-27,Rejected,0
L100148,C100148,43,Male,Salaried,14.7,1029573.0,693,3,0,0.224,1413239,18,9.16,Personal,84329.43,352505.0,2023-05-18,Approved,0
L100149,C100149,41,Female,Self-employed,10.5,819438.0,689,1,0,0.275,1047573,36,7.8,Home Improvement,32730.56,1585397.0,2023-09-12,Approved,0
L100150,C100150,41,Male,Salaried,1.9,897372.0,721,0,0,0.195,427528,36,9.52,Personal,13698.98,189484.0,2023-03-15,Rejected,0
L100151,C100151,41,Male,Salaried,7.9,525802.0,612,1,1,0.381,612904,48,12.02,Personal,16146.13,282900.0,2024-10-13,Rejected,0
L100152,C100152,31,Female,Salaried,10.1,1190688.0,735,0,0,0.13,808147,36,8.74,Home Improvement,25601.18,1281457.0,2023-12-02,Approved,0
L100153,C100153,40,Male,Business,3.4,435366.0,628,1,0,0.089,346625,36,10.93,Education,11336.57,21800.0,2025-10-12,Rejected,0
L100154,C100154,41,Male,Salaried,20.9,484101.0,697,1,0,0.416,362374,84,9.14,Personal,5856.04,31459.0,2024-06-14,Approved,1
L100155,C100155,31,Male,Self-employed,4.5,682524.0,663,2,0,0.35,1189998,36,11.23,Home Improvement,39088.75,941375.0,2023-06-06,Rejected,0
L100156,C100156,57,Female,Self-employed,8.1,475238.0,671,2,0,0.186,301374,72,9.18,Vehicle,5459.39,500562.0,2024-02-24,Approved,0
L100157,C100157,43,Male,Self-employed,20.0,1060643.0,752,3,0,0.359,1332313,48,9.35,Vehicle,33376.53,2071161.0,2023-04-29,Approved,0
L100158,C100158,26,Male,Self-employed,17.6,409455.0,720,3,0,0.342,294473,60,7.0,Vehicle,5830.92,407738.0,2025-11-19,Approved,0
L100159,C100159,45,Male,Salaried,5.1,345002.0,744,3,0,0.31,579564,36,10.81,Home Improvement,18922.08,421463.0,2023-01-23,Rejected,0
L100160,C100160,28,Female,Self-employed,1.6,197246.0,653,3,0,0.199,251543,48,9.49,Home Improvement,6318.35,228190.0,2025-05-10,Approved,0
L100161,C100161,46,Male,Salaried,11.3,836055.0,744,0,0,0.287,1495088,36,7.45,Vehicle,46472.21,1888138.0,2023-08-24,Rejected,0
L100162,C100162,50,Male,Salaried,20.4,630937.0,589,1,0,,952164,72,12.05,Home Improvement,18639.76,843255.0,2025-08-05,Rejected,0
L100163,C100163,30,Female,Self-employed,1.7,563255.0,704,0,0,0.245,806755,36,10.13,Vehicle,26080.98,1013170.0,2025-05-21,Rejected,0
L100164,C100164,48,Female,Salaried,16.4,795476.0,759,1,0,0.229,458464,24,7.64,Personal,20659.89,117801.0,2024-04-14,Rejected,0
L100165,C100165,42,Male,Salaried,10.2,239439.0,676,1,0,0.235,216161,36,10.5,Personal,7025.76,18986.0,2023-09-16,Approved,0
L100166,C100166,46,Female,Business,16.0,527387.0,682,2,0,0.286,608653,48,9.97,Medical,15428.24,183204.0,2024-11-27,Rejected,0
L100167,C100167,57,Male,Business,12.2,1557811.0,687,1,0,0.248,2223932,48,9.46,Vehicle,55829.68,2124486.0,2025-04-23,Rejected,0
L100168,C100168,36,Male,Salaried,8.7,1116749.0,565,0,1,0.206,2239640,36,9.62,Business,71867.97,3189555.0,2025-09-04,Approved,0
L100169,C100169,30,Male,Business,6.5,711524.0,793,3,0,0.452,1103072,12,9.37,Personal,96654.64,230482.0,2025-09-30,Approved,0
L100170,C100170,29,Male,Salaried,14.6,364687.0,724,2,0,0.36,537090,12,10.33,Vehicle,47301.22,797703.0,2025-05-27,Rejected,0
L100171,C100171,30,Male,Salaried,6.5,453416.0,712,1,0,0.211,252015,60,10.12,Business,5369.47,274918.0,2024-02-28,Rejected,0
L100172,C100172,37,Male,Salaried,6.0,495644.0,583,3,1,0.248,196365,18,13.26,Vehicle,12089.99,344076.0,2024-06-09,Approved,0
L100173,C100173,41,Male,Self-employed,7.1,545247.0,713,3,0,0.31,176375,24,9.36,Personal,8086.81,67187.0,2024-03-05,Rejected,0
L100174,C100174,41,Female,Self-employed,4.5,496406.0,721,2,0,0.419,640169,24,11.09,Vehicle,29863.65,724557.0,2025-02-02,Approved,0
L100175,C100175,46,Female,Self-employed,9.3,954795.0,643,1,0,0.124,1120759,36,10.82,Vehicle,36596.75,1141793.0,2023-06-02,Approved,0
L100176,C100176,38,Male,Self-employed,11.0,636242.0,677,2,0,0.344,194357,18,8.73,Home Improvement,11559.18,264058.0,2024-03-02,Approved,0
L100177,C100177,53,Male,Business,4.7,437305.0,621,0,1,0.178,248882,60,11.26,Business,5443.62,206145.0,2023-07-19,Rejected,0
L100178,C100178,35,Male,Self-employed,1.1,679426.0,731,1,0,0.314,1025333,60,9.91,Medical,21739.92,471611.0,2024-10-22,Approved,0
L100179,C100179,65,Female,Salaried,18.4,543942.0,609,1,0,0.261,339667,36,11.45,Home Improvement,11192.79,273407.0,2024-05-02,Rejected,0
L100180,C100180,44,Male,Self-employed,10.6,854724.0,757,1,0,0.412,1262875,36,12.6,Education,42308.35,219029.0,2024-01-22,Approved,0
L100181,C100181,29,Female,Self-employed,6.9,447104.0,696,1,0,0.19,134653,36,12.16,Vehicle,4482.7,97738.0,2025-12-28,Approved,0
